Date,inflation_USA,inflation_kor,inflation_china,unemployment_kor
2021-02-12,1.4807142857142856,1.6085714285714285,0.11785714285714285,3.960714285714286
2021-02-13,1.487142857142857,1.6257142857142857,0.12857142857142856,3.9571428571428573
2021-02-14,1.4935714285714285,1.6428571428571428,0.1392857142857143,3.9535714285714287
2021-02-15,1.5,1.66,0.15,3.95
2021-02-16,1.5064285714285715,1.677142857142857,0.16071428571428573,3.946428571428571
2021-02-17,1.512857142857143,1.6942857142857142,0.17142857142857143,3.9428571428571426
2021-02-18,1.5192857142857144,1.7114285714285713,0.18214285714285713,3.939285714285714
2021-02-19,1.5257142857142858,1.7285714285714286,0.19285714285714287,3.9357142857142855
2021-02-20,1.5321428571428573,1.7457142857142856,0.20357142857142857,3.932142857142857
2021-02-21,1.5385714285714287,1.762857142857143,0.2142857142857143,3.9285714285714284
2021-02-22,1.545,1.78,0.225,3.925
2021-02-23,1.5514285714285716,1.7971428571428572,0.2357142857142857,3.9214285714285713
2021-02-24,1.5578571428571428,1.8142857142857143,0.24642857142857144,3.9178571428571427
2021-02-25,1.5642857142857143,1.8314285714285714,0.2571428571428571,3.914285714285714
2021-02-26,1.5707142857142857,1.8485714285714285,0.26785714285714285,3.9107142857142856
2021-02-27,1.5771428571428572,1.8657142857142857,0.2785714285714286,3.907142857142857
2021-02-28,1.5835714285714286,1.8828571428571428,0.2892857142857143,3.9035714285714285
2021-03-01,1.59,1.9,0.3,3.9
2021-03-02,1.61,1.919032258064516,0.3129032258064516,3.893548387096774
2021-03-03,1.6300000000000001,1.9380645161290322,0.3258064516129032,3.8870967741935485
2021-03-04,1.6500000000000001,1.9570967741935483,0.3387096774193548,3.8806451612903223
2021-03-05,1.6700000000000002,1.9761290322580645,0.3516129032258064,3.8741935483870966
2021-03-06,1.69,1.9951612903225806,0.36451612903225805,3.867741935483871
2021-03-07,1.71,2.0141935483870967,0.37741935483870964,3.861290322580645
2021-03-08,1.73,2.033225806451613,0.39032258064516123,3.8548387096774195
2021-03-09,1.75,2.052258064516129,0.4032258064516129,3.8483870967741933
2021-03-10,1.77,2.071290322580645,0.4161290322580645,3.8419354838709676
2021-03-11,1.79,2.0903225806451613,0.4290322580645161,3.835483870967742
2021-03-12,1.81,2.1093548387096774,0.4419354838709677,3.829032258064516
